seq,durasi_ms,panjang,valid,kanal_aktif,data
58,770.83,125,1,9,00100010000000000000000000000000000000000000000000000010111000000001100100000000000000000000000000000000000000000000000000000
59,770.82,125,1,6,00000000000010000000000000100000000000000000000000000000100010001000000000000000100000000000000000000000000000000000000000000
60,770.84,125,1,15,00000000000000000010000000100000000000000000000000000100010111111111101000000000000000000000000000000000000000000000000000000
61,770.83,125,1,9,00010001100000000000000000000000000000000000000000000000100110000001100000000001000000000000000000000000000000000000000000000
62,770.83,125,1,4,00000000000000100000000000000000000000000000000000000000000000100110000000000000000000000000000000000000000000000000000000000
63,770.82,125,1,6,00000000000000000000000000000000000010000100000000001001000000000000110000000000000000000000000000000000000000000000000000000
64,770.84,125,1,9,00100000011000000000000010010000000000000000000000001000001001000000001000000000000000000000000000000000000000000000000000000
65,770.83,125,1,7,00000000000000001000000000000000000000000000000000000000000110001001100000000001000000000000000000000000000000000000000000000
66,770.83,125,1,6,00000000000000000000000001100000000000000000000000000110010000000000001000000000000000000000000000000000000000000000000000000
67,770.82,125,1,4,00010000000100000000000000000000000000000000000000000000000010010000000000000000000000000000000000000000000000000000000000000
68,770.84,125,1,7,00000000000000000110000000000000000000000000000000001100000000001010010000000000000000000000000000000000000000000000000000000
69,770.83,125,1,4,00000001000000000000000000000000000000000000000000000001100100000000000000000000000000000000000000000000000000000000000000000
70,770.83,125,1,6,01000000000001000000000000100000000000000000000000000000000001100100000000000000000000000000000000000000000000000000000000000
71,770.82,125,1,11,00000000000000000000000000000000000000000000000000000011000111111000100100000001000000000000000000000000000000000000000000000
72,770.84,125,1,6,00000000010000000000000000000000000000000000000000000000001001111000000000000000000000000000000000000000000000000000000000000
73,770.83,125,1,6,00001000000000010000000000001000000000000000000000000000000000011001000000000000000000000000000000000000000000000000000000000
74,770.83,125,1,9,00000000000000000000000000010000000000000000000000000111110000010000011000000000000000000000000000000000000000000000000000000
75,770.82,125,1,4,00000000000100000000000000000000000000000000000000000000000100110000000000000000000000000000000000000000000000000000000000000
76,770.84,125,1,7,01000000000000000100000100000000000000000000000000001000000000000110010000000000000000000000000000000000000000000000000000000
77,770.83,125,1,9,01000011000000000000000000100000000000000000000000000001001010010000000100000000000000000000000000000000000000000000000000000
78,770.83,125,1,5,00000000000001000000000000000000000000000000000000000000000001001100000000000000000100000000000000000000000000000000000000000
79,770.82,125,1,7,10010000000000000000000001000000000000000000000000000010000000000001001100000000000000000000000000000000000000000000000000000
80,770.84,125,1,5,00000000100000000000000000000000000000000000000000000000010011001000000000000000000000000000000000000000000000000000000000000
81,770.83,125,1,8,00000000000000110000000000000000000000000000000000000000011001010010001000000000000000000000000000000000000000000000000000000
82,770.83,125,1,6,01000000000000000000000000000000000000000000000000001100100001000000010000000000000000000000000000000000000000000000000000000
83,770.82,125,1,4,00000000001000000000000000000000000000000000000000000000001100100000000000000000000000000000000000000000000000000000000000000
84,770.84,125,1,9,00000000000000001100000001000000000000000000000000001000000000100100101000000001000000000000000000000000000000000000000000000
85,770.83,125,1,5,00000010000000000000000001000000000000000000000000000010001000000000000100000000000000000000000000000000000000000000000000000
86,770.83,125,1,4,00000000000010000000000000000000000000000000000000000000000011001000000000000000000000000000000000000000000000000000000000000
87,770.82,125,1,11,00000000000000000010000000000000000000000000000000000111100111000011001000000000000000000000000000000000000000000000000000000
88,770.84,125,1,13,00000000100000000000000000100000000000000000000000011101110110000110010000000000000000000000000000000000000000000000000000000
89,770.83,125,1,6,00000000000000100000000100000000000000000000000000000000000100110010000000000000000000000000000000000000000000000000000000000
90,770.83,125,1,6,00000000000000000000000000000000000000000000000000001111000000000000110000000000000000000000000000000000000000000000000000000
91,770.82,125,1,5,00000000001000000000000000000000000000000000000000000000001001100000000000000000000100000000000000000000000000000000000000000
92,770.84,125,1,6,10000000000000001000000000000000000000000000000000001000000000001001100000000000000000000000000000000000000000000000000000000
93,770.83,125,1,7,00000110000000000000000000000000000000000000000000000010010000100000001100000000000000000000000000000000000000000000000000000
94,770.83,125,1,5,01000000000110000000000000000000000000000000000000000000000010010000000000000000000000000000000000000000000000000000000000000
95,770.82,125,1,5,00000000000000000010000000000000000000000000000000000100000000000010011000000000000000000000000000000000000000000000000000000
96,770.84,125,1,7,00000001000000000000000000010000000000000000000000001011100100000000000000000000000000000000000000000000000000000000000000000
97,770.83,125,1,5,00000000000000100000000000000000000000000000000000000000000001100100010000000000000000000000000000000000000000000000000000000
98,770.83,125,1,3,00000000000000000000000000000000000000000000000000000001000000000000100100000000000000000000000000000000000000000000000000000
99,770.82,125,1,7,00100000010000000000000001000000000000000000000000000000011101000000000000000000000000000000000000000000000000000000000000000
100,770.84,125,1,6,00100000000000010000000000100000000000000000000000000000000000011001000000000000000000000000000000000000000000000000000000000
101,770.83,125,1,4,00000000000000000000000000000000000000000000000000000100110000000000001000000000000000000000000000000000000000000000000000000
102,770.83,125,1,5,00000000000100000000000100000000000000000000000000000000000110010000000000000000000000000000000000000000000000000000000000000
103,770.82,125,1,6,00000000000000000100000000100000000000000000000000000000000000000110011000000000000000000000000000000000000000000000000000000
104,770.84,125,1,8,01000001000000000000000000100000000000000000000000000001001100000000000100000000100000000000000000000000000000000000000000000
105,770.83,125,1,5,00000000000001000000000000000000000000000000000000000000000001001100000000000001000000000000000000000000000000000000000000000
106,770.83,125,1,5,00000000000000000000000000000000000000000000000000001010000000000001100100000000000000000000000000000000000000000000000000000
107,770.82,125,1,7,01010000110000000000000000000000000000000000000000000000010010010000000000000000000000000000000000000000000000000000000000000
108,770.84,125,1,4,00000000000000010000000000000000000000000000000000000000000000010011000000000000000000000000000000000000000000000000000000000
109,770.83,125,1,4,00000000000000000000000000100000000000000000000000000100100000000000010000000000000000000000000000000000000000000000000000000
110,770.83,125,1,5,00000000001100000000000000000000000000000000000000000000000100100000000000000100000000000000000000000000000000000000000000000
